object_number,priref,object_name-term,creator-name,creator.role,creator.qualifier,production.date.start,production.date.start.prec,production.date.end,production.date.end.prec,description,title,title-lang,record - Production - production.place - term,record - Dimension - dimension.type - linkdb,dimension.type-term,dimension.unit-term,dimension.value,dimension.part,dimension.notes,dimension.precision,record - institution.name - linkdb,institution.name-address,institution.name,technique-term,technique.part,technique.notes,production.date.notes,dimension.free
MMB.0057,12,schilderij,"Brueghel, Jan (I)",painter,,1595,ca.,1596,ca.,,Bruiloftsdans,nl-NL,Antwerp [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,27.4,,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Mayer van den Bergh (Antwerpen),,,,,
,,,,schilder,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,36.6,,,,,Antwerpen [plaats],,,,,,
MMB.0058,61,schilderij,"Brueghel, Jan (I)",painter,,1598,,1600,,Eigenhandige repliek van het exemplaar in het Kunsthistorisches Museum te Wenen.,Aanbidding van de wijzen,nl-NL,Antwerp [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,27.4,,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Mayer van den Bergh (Antwerpen),,,,,
,,,,schilder,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,36,,,,,Antwerpen [plaats],,,,,,
MMB.0070,178,schilderij,Cornelis De Vos,painter,,1625,circa,1625,circa,"Ten voeten uit. Pendant van inv. nr. 7, portret van zijn zuster. Zie ook nrs 10 en 20 (zijn ouders), alsook de vermoedelijke datering. Jan (1620-65) werd advocaat, schepen en aalmoezenier van Antwerpen, en werd geadeld in 1662. Zijn oudste dochter Catharina, uit zijn huwelijk met Catharina Lunden, zal huwen met Albert-Maria Rubens (1642-72), zoon van Niklaas en kleinzoon van de schilder. Een dochter uit dit laatste huwelijk zal huwen met een lid van de familie Goubau. Als erfstukken zullen onze vier Vekemansportretten in het bezit gekomen zijn van de familie Gysegem",Frans Vekemans,nl-NL,Antwerp [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,123.4,,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Mayer van den Bergh (Antwerpen),geschilderd,,,,
,,,,schilder,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,93.6,,,,,Antwerpen [plaats],,,,,,
MMB.0071,179,schilderij,Cornelis de Vos,painter,,1625,circa,1625,circa,"Zittende, ten voeten uit. Pendant van inv. nr. 2, portret van haar broer. Zie ook nrs 10 en 20 (haar ouders). Met de vermoedelijke datering van Greindle rekening houdend (1624 -25), moet het portret beschouwd worden als dat een der beide oudste dochtertjes van Joris, hetzij Elisabeth (1617-28), hetzij Cornelia (1618-35). Naar dit portret en naar inv. nr., wordt verwezen door L. van Puyvelde ter vergelijking met een portret in de verz. prins Doria te Rome, en door S. Sulzberger ter vergelijking met een meisjesportret in de Galleria Sabauda te Turijn",Cornelia of Elisabeth Vekemans,nl-NL,Antwerp [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,123,,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Mayer van den Bergh (Antwerpen),,,,,
,,,,schilder,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,93.4,,,,,Antwerpen [plaats],,,,,,
MMB.0086,187,schilderij,"Govaerts, Abraham",painter,,1614,,1614,,Compositie en onderwerp geïnspireerd op Joos de Momper (Thiéry),Landschap met rivierdal en valkenjacht,nl-NL,Antwerp [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,32.4,,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Mayer van den Bergh (Antwerpen),geschilderd,,,gedateerd,
,,,,schilder,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,51.2,,,,,Antwerpen [plaats],,,,,,
MMB.0087,238,schilderij,"Teniers, David (II)",painter,,1640,,1659,,De abt is afgebeeld in een grot tussen monsterlijke gedrochten,Verzoeking van Antonius abt,nl-NL,Antwerp [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,26.4,,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Mayer van den Bergh (Antwerpen),geschilderd,,,,
,,,,schilder,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,36.6,,,,,Antwerpen [plaats],,,,,,
MMB.0097,265,schilderij,"Lairesse, Gerard de",painter,,1668,,1668,,"Door Timmers (schrift.meded. 1958) in verband gebracht met de ets 'Semper pii praesidium', door Lairesse zelf, in spiegelbeeld en breder dan hoog, naar dit schilderij gegraveerd. Een tweede, veel kleiner schilderij van Lairesse, waarvoor naar dezelfde prent of althans naar een prent met hetzelfde onderwerp wordt verwezen, werd verkocht te Rotterdam op 2.6.1739 (Hoet, I, 571 veil.verz. Herman Schuurman, nr.1).",Venus schenkt wapens aan Aeneas,nl-NL,Amsterdam [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,161.8,,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Mayer van den Bergh (Antwerpen),geschilderd,,,gedateerd,
,,,,schilder,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,165.8,,,,,Antwerpen [plaats],,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,184,met lijst,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,188,met lijst,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diepte,cm,8.5,met lijst,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diepte,cm,12.5,met lijst en oogvijs,,,,,,,,,,
MMB.0118,271,schilderij,"Mahu, Cornelis",painter,,1638,,1638,,"Een foutief lezen van de signatuur had het schilderij doen rangschikken bij het oeuvre van W.Heda (zie cat. 1904, zowel als de vorige edities van onze cat.), wiens trant hier inderdaad wordt gevolgd. De correctie is te danken aan S. Segal, Amsterdam.",Stilleven met visontbijt,nl-NL,Antwerp [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,46.5,,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Mayer van den Bergh (Antwerpen),geschilderd,,,gedateerd,
,,,,schilder,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,63.5,,,,,Antwerpen [plaats],,,,,,
MMB.0061,289,schilderij,"Brueghel, Jan (I)",painter,,1600,ca.,1605,ca.,"Vrije herhaling van het schilderij van Jan Brueghel I te Wenen, of van een repliek hiernaar.",Aanbidding van de wijzen,nl-NL,Antwerp [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,20.7,,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Mayer van den Bergh (Antwerpen),,,,,
,,,,schilder,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,32,,,,,Antwerpen [plaats],,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,32.4,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,43.6,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diepte,cm,5.1,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diepte,cm,6,geheel,met ophanghaak,circa,,,,,,,,
MMB.0067,292,schilderij,anoniem,painter,,1600,,1624,,"Gecatalogiseerd 1904 als van David Vinckboons, en 1933 als hem toegeschreven. Deze toeschrijving is erg betwijfelbaar en wordt door Goossens verworpen.",Marktgangers bij een wad onder geboomte,nl-NL,Southern Netherlands,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,31.2,exclusief lijst,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Mayer van den Bergh (Antwerpen),,,,,
,,,,schilder,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,22.5,exclusief lijst,,,,Antwerpen [plaats],,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,45.1,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,37,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diepte,cm,2.9,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diepte,cm,4,geheel,met oogvijs,,,,,,,,,
MMB.0072,294,schilderij,"Vos, Cornelis de",painter,,1625,circa,1625,circa,"Luidens de nageschilderde briefadressen, is de voorgestelde, zittend en als kniestuk, Joris Vekemans, een koopman uit een invloedrijk Antwerps geslacht, geboren te Antwerpen in 1590. Hij huwde in 1616 met Maria van Ghinderdeuren, en woonde op de Oude Beurs in 'De Fontuyne'. Bij zijn vroegtijdige dood in januari 1625, liet hij zes kinderen na. Ons portret, door Greindl gesitueerd ca. 1625, zal uiterlijk wel in 1624 moeten ontstaan zijn. Dat het pendant (nr. 20) de echtgenote van Joris Vekemans voorstelt, en dat de verdere twee pendants (nrs. 2 en 7) twee van hun kinderen voorstellen, dient niet betwijfeld te worden. Inderdaad valt hun datering in het oeuvre van Corn. de Vos samen, en werden de vier portretten uit hetzelfde 250 jaar oud familiebezit tegelijkertijd verworven.",Joris Vekemans,nl-NL,Antwerp [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,123.3,,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Mayer van den Bergh (Antwerpen),geschilderd,,,,
,,,,schilder,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,86,,,,,Antwerpen [plaats],,,,,,
MMB.0073,295,schilderij,"Vos, Cornelis de",painter,,1625,circa,1625,circa,"Gehuwd met Joris Vekemans, weduwe 1625, overleden 1664.  Kniestuk, zittend.  In de achtergrond de O.L.Vrouwekerk van Antwerpen. Pendant van inv. nr. 10.",Maria van Ghinderdeuren,nl-NL,Antwerp [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,123,,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Mayer van den Bergh (Antwerpen),geschilderd,,,,
,,,,schilder,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,86.2,,,,,Antwerpen [plaats],,,,,,
MMB.0075,297,schilderij,"Wildens, Jan",painter,,1600,,1699,,,Landschap met dode eik,nl-NL,Antwerp [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,69.4,,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Mayer van den Bergh (Antwerpen),,,,,
,,,,schilder,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,112.5,,,,,Antwerpen [plaats],,,,,,
MMB.0076,298,schilderij,"Wildens, Jan",painter,,1600,,1699,,Het jaarmerk werd door W. Adler ontdekt. Dit is het pendant van MMB S 484 a.,Landschap met rotspartijen,nl-NL,Antwerp [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,69.5,,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Mayer van den Bergh (Antwerpen),,,,,
,,,,schilder,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,113,,,,,Antwerpen [plaats],,,,,,
MMB.0077,299,schilderij,Monogrammist Ac,painter,,1600,,1699,,Gecatalogiseerd 1904 en 1933 als gemonogrammeerd ACC. Zulk monogram is nauwelijks te bespeuren.,Landschap met een waterslot en musicerend gezelschap,nl-NL,Southern Netherlands,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,11.4,exclusief lijst,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Mayer van den Bergh (Antwerpen),,,,,
,,,,schilder,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,14.5,exclusief lijst,,,,Antwerpen [plaats],,,,,,
,,,Cornelius de Vos,painter,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,23.6,geheel,,,,,,,,,,
,,,,schilder,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,26.6,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diepte,cm,2.9,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diepte,cm,4.8,geheel,met oogvijs,,,,,,,,,
MMB.0082,302,schilderij,Jacob Jordaens I,painter,,1600,,1699,,,Aanbidding van de herders,nl-NL,Antwerp [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,64.5,zonder lijst,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Mayer van den Bergh (Antwerpen),geschilderd,,,,
,,,,schilder,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,51.5,zonder lijst,,,,Antwerpen [plaats],,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,83.8,met lijst,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,70.4,met lijst,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diepte,cm,5.1,met lijst,,,,,,,,,,
MMB.0141,338,schilderij,"Molanus, Mattheus",painter,,1600,,1649,,"Landschap met brugje, burcht, boomgewas, rivierdal en jagers. Gecatalogiseerd 1904 en 1933 als van een Hollandse anonymus. Nieuwe toeschrijving, om stilistische redenen, aan Molanus' vroege periode.",Heuvellandschap met jagers,nl-NL,Middelburg [plaats],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,14.4,exclusief lijst,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Mayer van den Bergh (Antwerpen),,,,,
,,,,schilder,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,20.2,exclusief lijst,,,,Antwerpen [plaats],,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,23.2,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,28.6,geheel,,,,,,,,,,
MMB.0156,348,schilderij,anoniem,painter,,1600,,1699,,,Glooiend landschap met twee monniken,nl-NL,Noordelijke Nederlanden [voormalige staat],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,12.2,exclusief lijst,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Mayer van den Bergh (Antwerpen),,,,,
,,,,schilder,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,17,exclusief lijst,,,,Antwerpen [plaats],,,,,,
,,,"Horst, Gerrit",painter,toegeschreven aan,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,25.2,geheel,,,,,,,,,,
,,,,schilder,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,29.5,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diepte,cm,3.5,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diepte,cm,4.8,geheel,met oogvijs,,,,,,,,,
MMB.0157,349,schilderij,"Decker, Cornelis Gerritsz.",painter,,1655,,1655,,,Hoeve aan de waterkant,nl-NL,Haarlem [plaats],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,40,,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Mayer van den Bergh (Antwerpen),geschilderd,,,gedateerd,
,,,,schilder,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,55.8,,,,,Antwerpen [plaats],,,,,,
MMB.0166,355,schilderij,"Perelle, Nicolas",painter,toegeschreven aan,1680,,1699,,"Onzekere toeschrijving. Al vindt men het compositieschema terug in het grafisch oeuvre van Perelle, stilistisch is er geen verband met het enig schilderij dat vanouds aan deze meester wordt toegeschreven.",Landschap met kasteelhoeve aan de waterkant,nl-NL,Frankrijk [staat],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,14.9,exclusief lijst,,,\\file1.adlib.local\adlib.musea$\data+people>people,Antwerp [location],Museum Mayer van den Bergh (Antwerpen),geschilderd,,,,
