SourceFile,ArtworkSourceInvURL,ArtworkSourceInventoryNo,ArtworkDateCreated,ArtworkSource,ArtworkCopyrghtNotice,ArtworkCreator,ArtworkTitle,LicensorName,LicensorStreetAddress,LicensorCity,LicensorPostalCode,LicensorCountry,LicensorTelephone1,LicensorTelephoneType1,LicensorEmail,LicensorURL,CopyrightFlag,Description,IntellectualGenre,Label,OriginalDocumentID,Source,Subject,UsageTerms,Webstatement
0000_GRO0524_I kopie.jpg,http://groeningemuseum.be/collection/work/id/0000_GRO0524_I,0000.GRO0524.I,circa 1701 - circa 1800,Musea Brugge - Groeningemuseum,Public domain,"Anonieme meester, Zuidelijke Nederlanden, 18de eeuw",Heilige Drievuldigheid,Lukas – Art in Flanders,Abrahamstraat 13,Gent,9000,Belgium,+32(0)92354730,Work,info@lukasweb.be,http://www.lukasweb.be/,False,"Heilige Drievuldigheid (Anonieme meester, Zuidelijke Nederlanden, 18de eeuw, circa 1701 - circa 1800); collection: Musea Brugge - Groeningemuseum",Reproduction of artwork,Heilige Drievuldigheid,http://groeningemuseum.be/collection/work/id/0000_GRO0524_I,http://www.lukasweb.be/,"olieverfschildering (http://vocab.getty.edu/aat/300033799), Anonieme meester, Zuidelijke Nederlanden, 18de eeuw, Musea Brugge - Groeningemuseum (http://isil.kbr.be/BE-BUE01)",https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication
0000_GRO1229_I kopie.jpg,http://groeningemuseum.be/collection/work/id/0000_GRO1229_I,0000.GRO1229.I,circa 1904,Musea Brugge - Groeningemuseum,Public domain,"Wolles, Lucien",Portret van mevrouw Lucien Wolles,Lukas – Art in Flanders,Abrahamstraat 13,Gent,9000,Belgium,+32(0)92354730,Work,info@lukasweb.be,http://www.lukasweb.be/,False,"Portret van mevrouw Lucien Wolles (Lucien Wolles, circa 1904); collection: Musea Brugge - Groeningemuseum",Reproduction of artwork,Portret van mevrouw Lucien Wolles,http://groeningemuseum.be/collection/work/id/0000_GRO1229_I,http://www.lukasweb.be/,"pastel (beeldmateriaal) (http://vocab.getty.edu/aat/300076922), Lucien Wolles (http://viaf.org/viaf/96352966), Musea Brugge - Groeningemuseum (http://isil.kbr.be/BE-BUE01)",https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication
0000_GRO1241_I kopie.jpg,http://groeningemuseum.be/collection/work/id/0000_GRO1241_I,0000.GRO1241.I,1600,Musea Brugge - Groeningemuseum,Public domain,"Anonieme meester, Zuidelijke Nederlanden, 1600",Portret van een man,Lukas – Art in Flanders,Abrahamstraat 13,Gent,9000,Belgium,+32(0)92354730,Work,info@lukasweb.be,http://www.lukasweb.be/,False,"Portret van een man (Anonieme meester, Zuidelijke Nederlanden, 1600, 1600); collection: Musea Brugge - Groeningemuseum",Reproduction of artwork,Portret van een man,http://groeningemuseum.be/collection/work/id/0000_GRO1241_I,http://www.lukasweb.be/,"olieverfschildering (http://vocab.getty.edu/aat/300033799), Anonieme meester, Zuidelijke Nederlanden, 1600, Musea Brugge - Groeningemuseum (http://isil.kbr.be/BE-BUE01)",https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication
0040003000 kopie.jpg,http://groeningemuseum.be/collection/work/id/0000_GRO0438_I,0000.GRO0438.I,1597,Musea Brugge - Groeningemuseum,Public domain,"Claeissens, Pieter II",Kaart van het Brugse Vrije,Lukas – Art in Flanders,Abrahamstraat 13,Gent,9000,Belgium,+32(0)92354730,Work,info@lukasweb.be,http://www.lukasweb.be/,False,"Kaart van het Brugse Vrije (Pieter II Claeissens, 1597); collection: Musea Brugge - Groeningemuseum",Reproduction of artwork,Kaart van het Brugse Vrije,http://groeningemuseum.be/collection/work/id/0000_GRO0438_I,http://www.lukasweb.be/,"olieverfschildering (http://vocab.getty.edu/aat/300033799), Pieter II Claeissens (http://viaf.org/viaf/95851105), Musea Brugge - Groeningemuseum (http://isil.kbr.be/BE-BUE01)",https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication
0040004000 kopie.jpg,http://groeningemuseum.be/collection/work/id/0000_GRO0008_I,0000.GRO0008.I,circa 1876,Musea Brugge - Groeningemuseum,Public domain,"Asselbergs, Alphonse",'La Mare aux Fées' in Fontainebleau,Lukas – Art in Flanders,Abrahamstraat 13,Gent,9000,Belgium,+32(0)92354730,Work,info@lukasweb.be,http://www.lukasweb.be/,False,"'La Mare aux Fées' in Fontainebleau (Alphonse Asselbergs, circa 1876); collection: Musea Brugge - Groeningemuseum",Reproduction of artwork,'La Mare aux Fées' in Fontainebleau,http://groeningemuseum.be/collection/work/id/0000_GRO0008_I,http://www.lukasweb.be/,"olieverfschildering (http://vocab.getty.edu/aat/300033799), Alphonse Asselbergs (http://viaf.org/viaf/29397571), Musea Brugge - Groeningemuseum (http://isil.kbr.be/BE-BUE01)",https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication
0040005000 kopie.jpg,http://groeningemuseum.be/collection/work/id/0000_GRO2363_II,0000.GRO2363.II,circa 1823 - circa 1842,Musea Brugge - Groeningemuseum,Public domain,"Noter, Pierre François De","Klooster en kerktoren van Drongen, Gent",Lukas – Art in Flanders,Abrahamstraat 13,Gent,9000,Belgium,+32(0)92354730,Work,info@lukasweb.be,http://www.lukasweb.be/,False,"Klooster en kerktoren van Drongen, Gent (Pierre François De Noter, circa 1823 - circa 1842); collection: Musea Brugge - Groeningemuseum",Reproduction of artwork,"Klooster en kerktoren van Drongen, Gent",http://groeningemuseum.be/collection/work/id/0000_GRO2363_II,http://www.lukasweb.be/,"tekening (http://vocab.getty.edu/aat/300033973), Pierre François De Noter (http://viaf.org/viaf/47543712), Musea Brugge - Groeningemuseum (http://isil.kbr.be/BE-BUE01)",https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication
0040006000 kopie.jpg,http://groeningemuseum.be/collection/work/id/1979_GRO0006_Ib,1979.GRO0006.Ib,circa 1601 - circa 1620,Musea Brugge - Groeningemuseum,Public domain,"Anonieme meester, begin 17de eeuw",Portret van de aartshertogin Isabella,Lukas – Art in Flanders,Abrahamstraat 13,Gent,9000,Belgium,+32(0)92354730,Work,info@lukasweb.be,http://www.lukasweb.be/,False,"Portret van de aartshertogin Isabella (Anonieme meester, begin 17de eeuw, circa 1601 - circa 1620); collection: Musea Brugge - Groeningemuseum",Reproduction of artwork,Portret van de aartshertogin Isabella,http://groeningemuseum.be/collection/work/id/1979_GRO0006_Ib,http://www.lukasweb.be/,"olieverfschildering (http://vocab.getty.edu/aat/300033799), Anonieme meester, begin 17de eeuw, Musea Brugge - Groeningemuseum (http://isil.kbr.be/BE-BUE01)",https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication
0040008000 kopie.jpg,http://groeningemuseum.be/collection/work/id/0000_GRO0208_I,0000.GRO0208.I,circa 1450 - circa 1516,Musea Brugge - Groeningemuseum,Public domain,"Bosch, Jheronimus",Laatste Oordeel-drieluik,Lukas – Art in Flanders,Abrahamstraat 13,Gent,9000,Belgium,+32(0)92354730,Work,info@lukasweb.be,http://www.lukasweb.be/,False,"Laatste Oordeel-drieluik (Jheronimus Bosch, circa 1450 - circa 1516); collection: Musea Brugge - Groeningemuseum",Reproduction of artwork,Laatste Oordeel-drieluik,http://groeningemuseum.be/collection/work/id/0000_GRO0208_I,http://www.lukasweb.be/,"olieverfschildering (http://vocab.getty.edu/aat/300033799), Jheronimus Bosch (http://viaf.org/viaf/305854999), Musea Brugge - Groeningemuseum (http://isil.kbr.be/BE-BUE01)",https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication
0040009000 kopie.jpg,http://groeningemuseum.be/collection/work/id/0000_GRO0035_I-0039_I,0000.GRO0035.I-0039.I,circa 1502 - circa 1508,Musea Brugge - Groeningemuseum,Public domain,"David, Gerard",Doopsel van Christus,Lukas – Art in Flanders,Abrahamstraat 13,Gent,9000,Belgium,+32(0)92354730,Work,info@lukasweb.be,http://www.lukasweb.be/,False,"Doopsel van Christus (Gerard David, circa 1502 - circa 1508); collection: Musea Brugge - Groeningemuseum",Reproduction of artwork,Doopsel van Christus,http://groeningemuseum.be/collection/work/id/0000_GRO0035_I-0039_I,http://www.lukasweb.be/,"olieverfschildering (http://vocab.getty.edu/aat/300033799), Gerard David (http://viaf.org/viaf/54419155), Musea Brugge - Groeningemuseum (http://isil.kbr.be/BE-BUE01)",https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication
0040010000 kopie.jpg,http://groeningemuseum.be/collection/work/id/0000_GRO0104_I,0000.GRO0104.I,1805,Musea Brugge - Groeningemuseum,Public domain,"Odevaere, Joseph Denis",Portret van markies Bernard-François de Chauvelin,Lukas – Art in Flanders,Abrahamstraat 13,Gent,9000,Belgium,+32(0)92354730,Work,info@lukasweb.be,http://www.lukasweb.be/,False,"Portret van markies Bernard-François de Chauvelin (Joseph Denis Odevaere, 1805); collection: Musea Brugge - Groeningemuseum",Reproduction of artwork,Portret van markies Bernard-François de Chauvelin,http://groeningemuseum.be/collection/work/id/0000_GRO0104_I,http://www.lukasweb.be/,"olieverfschildering (http://vocab.getty.edu/aat/300033799), Joseph Denis Odevaere (http://viaf.org/viaf/5200190), Musea Brugge - Groeningemuseum (http://isil.kbr.be/BE-BUE01)",https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication
0040012000 kopie.jpg,http://groeningemuseum.be/collection/work/id/1991_GRO0008_I,1991.GRO0008.I,circa 1509 - circa 1529,Musea Brugge - Groeningemuseum,Public domain,Meester van het Heilig Bloed,Madonna met de heiligen Catharina en Barbara,Lukas – Art in Flanders,Abrahamstraat 13,Gent,9000,Belgium,+32(0)92354730,Work,info@lukasweb.be,http://www.lukasweb.be/,False,"Madonna met de heiligen Catharina en Barbara (Meester van het Heilig Bloed, circa 1509 - circa 1529); collection: Musea Brugge - Groeningemuseum",Reproduction of artwork,Madonna met de heiligen Catharina en Barbara,http://groeningemuseum.be/collection/work/id/1991_GRO0008_I,http://www.lukasweb.be/,"olieverfschildering (http://vocab.getty.edu/aat/300033799), Meester van het Heilig Bloed (http://viaf.org/viaf/95871768), Musea Brugge - Groeningemuseum (http://isil.kbr.be/BE-BUE01)",https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication
